"","line","yield","location","set"
"205","BADGER",136.9808,"lec","2017"
"206","BETAGENE",123.2427,"lec","2017"
"207","COLT",102.16,"lec","2017"
"208","CS_CAMDEN",145.1169,"lec","2017"
"209","DEON",126.4438,"lec","2017"
"210","ESKER",41.0809,"lec","2017"
"211","GOLIATH",106.7036,"lec","2017"
"212","HAYDEN",102.1687,"lec","2017"
"213","HORSEPOWER",79.3608,"lec","2017"
"214","JURY",105.6105,"lec","2017"
"215","MN11139",96.9466,"lec","2017"
"216","MN11211",148.0513,"lec","2017"
"217","MNBT1020-1",136.5719,"lec","2017"
"218","MNBT1021-1",121.7755,"lec","2017"
"219","MNBT1021-2",148.5848,"lec","2017"
"220","NATTY",110.4382,"lec","2017"
"221","NEWBURG",116.1736,"lec","2017"
"222","REINS",147.6134,"lec","2017"
"223","ROCKFORD",65.7561,"lec","2017"
"224","RON",133.9087,"lec","2017"
"225","SABER",130.8453,"lec","2017"
"226","SD120296",137.2475,"lec","2017"
"227","SHELBY_427",104.1694,"lec","2017"
"228","SOURIS",57.9331,"lec","2017"
"229","STREAKER",39.8805,"lec","2017"
"230","SUMO",67.8902,"lec","2017"
"231","mean",109.215866666667,"lec","2017"
"232","lsd0.1",44.09288,"lec","2017"
"233","ANTIGO",52.1847,"kim","2017"
"234","BADGER",32.8447,"kim","2017"
"235","BETAGENE",60.5352,"kim","2017"
"236","COLT",27.4196,"kim","2017"
"237","CS_CAMDEN",48.5168,"kim","2017"
"238","DEON",40.7784,"kim","2017"
"239","ESKER",28.7951,"kim","2017"
"240","GOLIATH",35.5123,"kim","2017"
"241","HAYDEN",52.8516,"kim","2017"
"242","HORSEPOWER",37.3386,"kim","2017"
"243","JURY",35.1788,"kim","2017"
"244","MN11139",32.8447,"kim","2017"
"245","MN11211",59.6873,"kim","2017"
"246","MNBT1020-1",45.0156,"kim","2017"
"247","MNBT1021-1",64.1889,"kim","2017"
"248","MNBT1021-2",41.5144,"kim","2017"
"249","NATTY",41.3476,"kim","2017"
"250","NEWBURG",28.5099,"kim","2017"
"251","REINS",37.8464,"kim","2017"
"252","ROCKFORD",27.1761,"kim","2017"
"253","RON",44.182,"kim","2017"
"254","SABER",50.184,"kim","2017"
"255","SD120296",55.1858,"kim","2017"
"256","SHELBY_427",49.5171,"kim","2017"
"257","SOURIS",32.0111,"kim","2017"
"258","STREAKER",28.0097,"kim","2017"
"259","SUMO",24.084,"kim","2017"
"260","mean",41.2318666666667,"kim","2017"
"261","lsd0.1",20.33591,"kim","2017"
"262","ANTIGO",87.8638,"roc","2017"
"263","BADGER",52.8516,"roc","2017"
"264","BETAGENE",61.0211,"roc","2017"
"265","COLT",30.1317,"roc","2017"
"266","CS_CAMDEN",61.8547,"roc","2017"
"267","DEON",46.8496,"roc","2017"
"268","ESKER",84.0291,"roc","2017"
"269","GOLIATH",45.8492,"roc","2017"
"270","HAYDEN",28.1764,"roc","2017"
"271","HORSEPOWER",17.2634,"roc","2017"
"272","JURY",30.3438,"roc","2017"
"273","MN11139",92.8655,"roc","2017"
"274","MN11211",77.7636,"roc","2017"
"275","MNBT1020-1",128.2111,"roc","2017"
"276","MNBT1021-1",126.5438,"roc","2017"
"277","MNBT1021-2",123.8762,"roc","2017"
"278","NATTY",41.2813,"roc","2017"
"279","NEWBURG",35.8457,"roc","2017"
"280","REINS",75.8596,"roc","2017"
"281","ROCKFORD",18.173,"roc","2017"
"282","RON",85.2965,"roc","2017"
"283","SABER",44.0152,"roc","2017"
"284","SD120296",106.8234,"roc","2017"
"285","SHELBY_427",32.0111,"roc","2017"
"286","SOURIS",14.6717,"roc","2017"
"287","STREAKER",24.175,"roc","2017"
"288","SUMO",98.8676,"roc","2017"
"289","mean",61.9449888888889,"roc","2017"
"290","lsd0.1",16.43445,"roc","2017"
"291","ANTIGO",114.5057,"state","2017"
"292","BADGER",120.9221,"state","2017"
"293","BETAGENE",130.03,"state","2017"
"294","COLT",97.6044,"state","2017"
"295","CS_CAMDEN",134.1153,"state","2017"
"296","DEON",131.1765,"state","2017"
"297","ESKER",116.3271,"state","2017"
"298","GOLIATH",117.9689,"state","2017"
"299","HAYDEN",136.1111,"state","2017"
"300","HORSEPOWER",113.192,"state","2017"
"301","JURY",119.6953,"state","2017"
"302","MN11139",129.1461,"state","2017"
"303","MN11211",134.2259,"state","2017"
"304","MNBT1020-1",139.2373,"state","2017"
"305","MNBT1021-1",141.107,"state","2017"
"306","MNBT1021-2",128.7417,"state","2017"
"307","NATTY",118.7606,"state","2017"
"308","NEWBURG",120.2254,"state","2017"
"309","REINS",117.8634,"state","2017"
"310","ROCKFORD",113.4669,"state","2017"
"311","RON",135.7122,"state","2017"
"312","SABER",127.7885,"state","2017"
"313","SD120296",130.586,"state","2017"
"314","SHELBY_427",111.0542,"state","2017"
"315","SOURIS",109.7249,"state","2017"
