line,value,variable
CORRAL,86.87831635,height_BLUE
EXCEL,93.62723974,height_BLUE
FL0238BSB-22,86.45200152,height_BLUE
OGLE,83.6567952,height_BLUE
PI289587,96.8289603,height_BLUE
PI326228,105.5542476,height_BLUE
PI344841,100.6791371,height_BLUE
SHELBY_427,94.26999118,height_BLUE
SU11-1003,104.4520015,height_BLUE
TX02U7479,105.5563408,height_BLUE
TX07CS1402,98.08441531,height_BLUE
WIX9221-8,87.64990141,height_BLUE
95AB12770,2.466141436,log_sev_BLUE
CIAV5218,2.457511666,log_sev_BLUE
CLINTLAND_64,3.429823394,log_sev_BLUE
CORRAL,2.442268057,log_sev_BLUE
EXCEL,2.461826551,log_sev_BLUE
FL0238BSB-22,2.301384102,log_sev_BLUE
OGLE,2.428217025,log_sev_BLUE
PI289587,2.466141436,log_sev_BLUE
PI326228,6.457688504,log_sev_BLUE
PI344841,2.465971242,log_sev_BLUE
SHELBY_427,1.453820784,log_sev_BLUE
SU11-1003,6.301384102,log_sev_BLUE
TX02U7479,2.468673636,log_sev_BLUE
TX07CS1402,2.457511666,log_sev_BLUE
WIX9221-8,3.716336334,log_sev_BLUE
95AB12770,177.0285118,yield_BLUE
CIAV5218,119.1885924,yield_BLUE
CLINTLAND_64,137.6152767,yield_BLUE
CORRAL,163.2447986,yield_BLUE
EXCEL,127.0481622,yield_BLUE
FL0238BSB-22,143.9669298,yield_BLUE
OGLE,145.1573625,yield_BLUE
PI289587,149.7074586,yield_BLUE
PI326228,108.2648861,yield_BLUE
PI344841,141.7237491,yield_BLUE
SHELBY_427,120.2130163,yield_BLUE
SU11-1003,145.2173513,yield_BLUE
TX02U7479,147.4709343,yield_BLUE
TX07CS1402,76.70757655,yield_BLUE
WIX9221-8,125.8461309,yield_BLUE
