line,value,variable
AC_ASSINIBOIA,4.485948334,log_sev_BLUE
p22,4.510190211,log_sev_BLUE
SD111753,4.516351892,log_sev_BLUE
p204,4.547654154,log_sev_BLUE
p89,4.550826587,log_sev_BLUE
NEWBURG,4.623105759,log_sev_BLUE
SD120266,4.669893561,log_sev_BLUE
SD090248,4.713459744,log_sev_BLUE
ND040196,4.762312661,log_sev_BLUE
p192,4.851377312,log_sev_BLUE
SD101027,4.912463697,log_sev_BLUE
ND030349,4.972147592,log_sev_BLUE
ND101473,5.035936684,log_sev_BLUE
SD090552,5.138716232,log_sev_BLUE
SD050938,5.294570203,log_sev_BLUE
ND080816,5.299422054,log_sev_BLUE
MN11110,5.329857898,log_sev_BLUE
SD120456,5.386305621,log_sev_BLUE
ND021052,5.586434074,log_sev_BLUE
ND011054,5.67325458,log_sev_BLUE
IA02130-2-3,5.760575772,log_sev_BLUE
WIX9487-1,5.898926985,log_sev_BLUE
ANDREW,68.48677631,height_BLUE
IL07-8721,69.66999118,height_BLUE
p125,74.83598887,height_BLUE
SD080611,76.0341414,height_BLUE
REINS,76.08663688,height_BLUE
IL05-9931,76.73013803,height_BLUE
p71,76.8862835,height_BLUE
p70,77.23709424,height_BLUE
BADGER,78.3376969,height_BLUE
p124,79.23441758,height_BLUE
p66,79.46028161,height_BLUE
SD120129,79.58946081,height_BLUE
IA02168-1-1,79.68971982,height_BLUE
HA08-03X15-1,79.7207295,height_BLUE
p222,79.79409409,height_BLUE
IL08-9201,80.00976442,height_BLUE
IL09-5745,80.14412237,height_BLUE
P075A1-3-2,80.25166786,height_BLUE
IL05-7133,80.66859066,height_BLUE
WIX9500-6,80.69996034,height_BLUE
p67,81.04803006,height_BLUE
p132,81.05014189,height_BLUE
SD082192,81.17289297,height_BLUE
P0528A1-1-1,81.18520142,height_BLUE
SD120524,81.36662701,height_BLUE
SD120638,81.45344298,height_BLUE
SD091510,81.58910457,height_BLUE
IL10-9867,82.11400127,height_BLUE
p211,82.42132731,height_BLUE
P021A1-78-1,82.44960435,height_BLUE
IL06-5465,82.64872552,height_BLUE
SD050834,82.78866296,height_BLUE
SABER,82.83392633,height_BLUE
p73,82.85924146,height_BLUE
p172,82.88907894,height_BLUE
p212,82.95049817,height_BLUE
p126,83.1648743,height_BLUE
p210,83.41139474,height_BLUE
SD080788,83.55404678,height_BLUE
P0528A1-1,83.7560572,height_BLUE
P0528A1-6-1,83.76258688,height_BLUE
p116,83.84900693,height_BLUE
P973A38-9-3-2-29,83.85033562,height_BLUE
p117,83.90441839,height_BLUE
SD120289,83.94206855,height_BLUE
SD050716,83.9807295,height_BLUE
IL08-2010,84.10257582,height_BLUE
IL06-3761,84.17406396,height_BLUE
p52,84.19634233,height_BLUE
SD081085,84.46306907,height_BLUE
IL02-8663,84.48010965,height_BLUE
p173,84.64127361,height_BLUE
p69,84.64215348,height_BLUE
p38,84.68051296,height_BLUE
p56,84.71907923,height_BLUE
P9741A1-4-6-86,84.77110711,height_BLUE
IL06-8153,84.8041973,height_BLUE
P0714A1-29-2,84.81065193,height_BLUE
p72,84.83846818,height_BLUE
p105,84.95077155,height_BLUE
p39,85.00587987,height_BLUE
p180,85.04471058,height_BLUE
IL11-2353,85.09077816,height_BLUE
IL09-5239,85.14454718,height_BLUE
IL04-7077,85.19481384,height_BLUE
p213,85.21360976,height_BLUE
p76,85.2295952,height_BLUE
IL05-3337,85.23240568,height_BLUE
p68,85.24476645,height_BLUE
p217,85.25942996,height_BLUE
WIX9897-5,85.3475116,height_BLUE
SD120296,85.49608991,height_BLUE
P0541A1-1,85.52649002,height_BLUE
p99,85.56127186,height_BLUE
IL09-5508,85.57436054,height_BLUE
p48,85.612257,height_BLUE
p214,85.69437009,height_BLUE
SD081577,85.74775281,height_BLUE
p175,85.78466367,height_BLUE
p149,85.85358233,height_BLUE
p150,85.96687103,height_BLUE
IL02-8011,86.00942324,height_BLUE
p227,86.03749565,height_BLUE
p216,86.17954197,height_BLUE
IL02-5630,86.19392633,height_BLUE
SD020883,86.23908553,height_BLUE
SD100602,86.36125866,height_BLUE
p74,86.38946811,height_BLUE
p176,86.41346148,height_BLUE
p233,86.43202232,height_BLUE
p174,86.43789009,height_BLUE
p131,86.4655513,height_BLUE
IA02023-2-1,86.52332451,height_BLUE
WIX10045-12,86.59624914,height_BLUE
SD051005,86.67983461,height_BLUE
p223,86.73239667,height_BLUE
WIX9082-1,86.84455207,height_BLUE
p215,86.89095158,height_BLUE
p219,86.89300338,height_BLUE
p179,86.90186416,height_BLUE
MNBT1020-1,86.9074926,height_BLUE
p122,87.01965745,height_BLUE
WIX9645-1,87.02587601,height_BLUE
p121,87.10458719,height_BLUE
p240,87.10668671,height_BLUE
p133,87.1425471,height_BLUE
p147,87.15806884,height_BLUE
AAC_OAKLIN,87.21089464,height_BLUE
SD110605,87.2509107,height_BLUE
p239,87.32457027,height_BLUE
p75,87.37440756,height_BLUE
SD050612,87.4176969,height_BLUE
p146,87.48881222,height_BLUE
p37,87.49390401,height_BLUE
p118,87.52499153,height_BLUE
p218,87.53534525,height_BLUE
IL00-1030,87.58797682,height_BLUE
OA1341-1,87.63142157,height_BLUE
SD110470,87.68824943,height_BLUE
p226,87.72028396,height_BLUE
IA02130-2-2,87.79281317,height_BLUE
SD110640,87.79907235,height_BLUE
SD100454,87.85211476,height_BLUE
p32,87.90320057,height_BLUE
SD110466,88.02323991,height_BLUE
SD100644,88.28788188,height_BLUE
IL11-5748,88.34518912,height_BLUE
MN09115,88.36279414,height_BLUE
p34,88.36713121,height_BLUE
p181,88.37127845,height_BLUE
IA02010-2-1,88.45429993,height_BLUE
BETAGENE,88.52518912,height_BLUE
SD081107,88.58258688,height_BLUE
OPTIMUM,88.68677631,height_BLUE
SD090880,88.71341546,height_BLUE
SD120069,88.80322385,height_BLUE
WIX9449-1,88.80611311,height_BLUE
WIX9528-1,88.96184906,height_BLUE
WIX8787-2,88.9709107,height_BLUE
p36,89.06164142,height_BLUE
P021A1-78-1-5,89.11972298,height_BLUE
p136,89.15179126,height_BLUE
IL09-2838,89.16851572,height_BLUE
P0216A1-1-45,89.20158276,height_BLUE
OTEE,89.22866296,height_BLUE
SD081949,89.28632833,height_BLUE
p51,89.32027123,height_BLUE
SD081563,89.32293768,height_BLUE
p241,89.33195271,height_BLUE
p33,89.33511774,height_BLUE
CLINTFORD,89.39852245,height_BLUE
p49,89.57756228,height_BLUE
p123,89.60536091,height_BLUE
P021A1-66-2,89.62422797,height_BLUE
p62,89.62597469,height_BLUE
HA07-02X22-3,89.64029642,height_BLUE
p171,89.64871826,height_BLUE
p225,89.66586979,height_BLUE
SD101027,89.70747473,height_BLUE
WIX9562-5,89.70838641,height_BLUE
p234,89.768677,height_BLUE
p236,89.77585938,height_BLUE
p53,89.81219711,height_BLUE
SD110808,89.8373186,height_BLUE
p145,89.84127468,height_BLUE
SD100184,89.84424403,height_BLUE
p55,89.8717665,height_BLUE
p93,89.89898859,height_BLUE
p35,89.90082362,height_BLUE
p148,89.905129,height_BLUE
p31,89.94056008,height_BLUE
P0216A1-1,89.9533927,height_BLUE
IL07-8258,89.98205885,height_BLUE
SD081644,90.05162102,height_BLUE
MN04136,90.19400127,height_BLUE
p100,90.21459182,height_BLUE
